term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
management-defined performance measure,MPM,phrase,管理层定义的业绩指标,Disclosure,non-GAAP/APM reconciliation | IFRS 18新增披露,"management-defined performance measure is a professional expression used in financial statement presentation, notes or annual report disclosure.",管理层定义的业绩指标，是财务报表列报、附注或年报披露中的专业表达。,The disclosure objective covers management-defined performance measure.,披露目标涵盖管理层定义的业绩指标。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 327; IFRS 18 | example: isg-2025-insights-an-overview.txt: line 1316 | isg-2025-insights-an-overview.txt: line 1315,IFRS/HKFRS standards term library,IFRS 18,Disclosure / Annual report,4 - High,Financial reporting
material accounting policy information,,phrase,重大会计政策信息,Disclosure,财报附注、招股书财务资料 | policy note | 会计政策,"material accounting policy information is a professional expression used in accounting policies, accounting estimates or error correction under IAS 8.",重大会计政策信息，是IAS 8下会计政策、会计估计或差错更正中的专业表达。,An entity is required to disclose material accounting policy information.,主体须披露重要的会计政策信息。,Medium,Illust_FS(12.25).txt: line 1384 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 377; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 23 | example: isg-2025-insights-an-overview.txt: line 624,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,5 - Very high / core,Financial reporting
nature of interests,,phrase,权益性质,Disclosure,interests in entities,"nature of interests is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",权益性质，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Material changes in nature of interests are explained in the notes.,权益性质的重大变动已在附注中说明。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 206; IFRS 12,IFRS/HKFRS standards term library,IFRS 12,Disclosure of interests in other entities,3 - Medium,Financial reporting
non-adjusting events after the reporting period,,phrase,报告期后非调整事项,Disclosure,IAS/HKAS 10披露 | disclosure only,"non-adjusting events after the reporting period is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",报告期后非调整事项，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Treasury teams monitor non-adjusting events after the reporting period as part of financial risk reporting.,资金部门作为财务风险报告的一部分，监测报告期后非调整事项。,advanced,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 4619 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 380; IAS 10 | example: Model Accounts.txt: line 6845,IFRS/HKFRS standards term library,IAS 10,Disclosure,4 - High,IPO
notes,,term,附注,Disclosure,annual report notes,"notes is a professional expression used in financial statement presentation, notes or annual report disclosure.",附注，是财务报表列报、附注或年报披露中的专业表达。,The Group has included these assets within 'inventories' and disclosed them separately in the notes (see Note 17).,本集团已将这些资产计入「存货」项下，并在附注中单独披露（见附注17）。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 319; IFRS 18 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 831 | example: Illust_FS(12.25).txt: line 2460 | example: isg-2026-ifs.txt: line 612,IFRS/HKFRS standards term library,IFRS 18,Disclosure / Annual report,4 - High,IPO
operating segment,,phrase,经营分部,Disclosure,IFRS/HKFRS 8分部披露 | annual report segment note | IFRS 8,"operating segment is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",经营分部，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,"The Group applied judgement and considered a number of factors, including the core principle of IFRS 8 Operating Segments, to determine the material items of income and expense to disclose for each reportable segment.",本集团运用判断并考虑多项因素，包括IFRS 8《经营分部》的核心原则，以确定各可报告分部应披露的重大收益和费用项目。,intermediate,Illust_FS(12.25).txt: line 4204 | example: Illust_FS(12.25).txt: line 4617 | example: isg-2026-ifs.txt: line 1416 | example: isg-2026-ifs.txt: line 1373 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 126; IFRS 8 | IFRS专业词汇.xlsx/Sheet1 row 143 | IFRS专业词汇.xlsx/Sheet1 row 190 | example: isg-2026-ifs.txt: line 1245,Model financial statements / annual report,General IFRS/HKFRS,Disclosure,5 - Very high / core,Financial reporting
reconciliations,,term,调节表,Disclosure,equity reconciliation; profit or loss reconciliation,"reconciliations is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",调节表，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,"In some cases, it might be more meaningful to aggregate separate reconciliations prepared using the domestic tax rate in each individual jurisdiction.",在某些情况下，将按各司法管辖区国内税率编制的单独调节表汇总列报可能更有意义。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 44; IFRS 1 | example: isg-2026-ifs.txt: line 3263 | example: isg-2026-ifs.txt: line 2608,IFRS/HKFRS standards term library,IFRS 1,Disclosure,5 - Very high / core,Financial reporting
remaining performance obligations,,phrase,剩余履约义务,Disclosure,backlog; revenue visibility | IFRS 15,"remaining performance obligations is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",剩余履约义务，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,The impairment model reflects management's assessment of remaining performance obligations.,减值模型反映了管理层对剩余履约义务的评估。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 267; IFRS 15 | IFRS专业词汇.xlsx/Sheet1 row 250 | example: Model Accounts.txt: line 2841 | example: isg-2026-ifs.txt: line 1864,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
reportable segment,,phrase,可报告分部,Disclosure,分部信息披露 | annual report segment note | IFRS 8,"reportable segment is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",可报告分部，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,The table also includes a reconciliation of the disaggregated revenue with the Group's reportable segments (see Note 6).,该表还包括分解后收入与本集团可报告分部的调节表（见附注6）。,intermediate,Illust_FS(12.25).txt: line 4559 | example: isg-2026-ifs.txt: line 1743 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 128; IFRS 8 | IFRS专业词汇.xlsx/Sheet1 row 144 | IFRS专业词汇.xlsx/Sheet1 row 192 | example: Illust_FS(12.25).txt: line 4821,Model financial statements / annual report,IFRS 15,Revenue,4 - High,Financial reporting
risks associated with interests,,phrase,与权益相关的风险,Disclosure,structured entity exposure,"risks associated with interests is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",与权益相关的风险，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The notes provide risks associated with interests.,附注提供了与权益相关的风险信息。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 207; IFRS 12,IFRS/HKFRS standards term library,IFRS 12,Disclosure of interests in other entities,3 - Medium,Financial reporting
significance of financial instruments,,phrase,金融工具的重要性,Disclosure,financial statements; risk note,significance of financial instruments is a professional expression used in disclosures about financial instruments and related risk exposures.,金融工具的重要性，是金融工具披露中的专业表达，通常用于说明金融工具及相关风险敞口。,Finance teams consider significance of financial instruments before closing the reporting package.,财务团队在关闭报告包之前会考虑金融工具的重要性。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 111; IFRS 7 | example: Illust_FS(12.25).txt: line 9861 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 30300,IFRS/HKFRS standards term library,IFRS 7,Financial instruments disclosure,4 - High,Financial reporting
significant judgements and assumptions,,phrase,重大判断及假设,Disclosure,control/joint control/significant influence,"significant judgements and assumptions is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",重大判断及假设，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Impairment testing considers evidence related to significant judgements and assumptions.,减值测试会考虑与重大判断和假设相关的证据。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 199; IFRS 12 | example: Illust_FS(12.25).txt: line 4270 | example: Illust_FS(12.25).txt: line 4262,IFRS/HKFRS standards term library,IFRS 12,Disclosure of interests in other entities,4 - High,Financial reporting
Significant restriction,,phrase,重大限制,Disclosure,cash transfer restrictions; regulated subsidiaries | IFRS 12,"Significant restriction is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",重大限制，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Tax teams assess whether significant restrictions changes the effective tax rate.,税务团队评估重大限制是否会改变实际税率。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 201; IFRS 12 | example: isg-2025-insights-an-overview.txt: line 1902 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 22473 | IFRS专业词汇.xlsx/Sheet1 row 224,IFRS/HKFRS standards term library,IFRS 12,Disclosure of interests in other entities,5 - Very high / core,Financial reporting
sponsored structured entity,,phrase,发起设立的结构化主体,Disclosure,asset management; securitisation,"sponsored structured entity is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",发起设立的结构化主体，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Evidence from management supports the conclusion on sponsored structured entity.,管理层的证据支持关于发起设立的结构化主体的结论。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 204; IFRS 12,IFRS/HKFRS standards term library,IFRS 12,Disclosure of interests in other entities,3 - Medium,IPO
subsidiaries with material non-controlling interests,,phrase,重大非全资子公司,Disclosure,NCI note,"subsidiaries with material non-controlling interests is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",重大非全资子公司，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Investors compare subsidiaries with material non-controlling interests with the related accounting policy.,投资者将存在重大非控制性权益的子公司与相关会计政策进行比较。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 200; IFRS 12,IFRS/HKFRS standards term library,IFRS 12,Disclosure of interests in other entities,3 - Medium,Financial reporting
summarised financial information,,phrase,汇总财务信息,Disclosure,associates; joint ventures; NCI | IFRS 12,"summarised financial information is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",汇总财务信息，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The table also reconciles the summarised financial information to the carrying amount of the Group's interest in Paletel.,该表还将汇总财务信息与本集团在Paletel公司权益的账面价值进行调节。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 205; IFRS 12 | IFRS专业词汇.xlsx/Sheet1 row 225 | example: isg-2026-ifs.txt: line 3768,IFRS/HKFRS standards term library,IFRS 12,Disclosure of interests in other entities,4 - High,Financial reporting
unconsolidated structured entity,,phrase,未合并结构化主体,Disclosure,sponsored funds; securitisation | IFRS 12,"unconsolidated structured entity is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",未合并结构化主体，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,Audit committees review significant judgements involving unconsolidated structured entity.,审计委员会复核涉及未合并结构化主体的重大判断。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 203; IFRS 12 | IFRS专业词汇.xlsx/Sheet1 row 226 | example: isg-2025-insights-an-overview.txt: line 1937,IFRS/HKFRS standards term library,IFRS 12,Audit,5 - Very high / core,Audit
unusual income and expenses,,phrase,异常收支项目,Disclosure,performance explanation,"unusual income and expenses is a professional expression used in financial statement presentation, notes or annual report disclosure.",异常收支项目，是财务报表列报、附注或年报披露中的专业表达。,Finance teams consider unusual income and expenses before closing the reporting package.,财务团队在关闭报告包之前考虑异常收益和费用项目。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 331; IFRS 18,IFRS/HKFRS standards term library,IFRS 18,Disclosure / Annual report,3 - Medium,Financial reporting
material information,,phrase,重要信息,Disclosure principles,financial statement notes | IAS 1 / IFRS 18,"material information is a professional expression used in financial statement presentation, notes or annual report disclosure.",重要信息，是财务报表列报、附注或年报披露中的专业表达。,"Based on this assessment, it will present line items in the primary financial statements that provide useful structured summaries and disclose additional material information in the notes.",基于该评估，主体将在主要财务报表中列报提供有用结构化汇总信息的单列项目，并在附注中披露其他重要信息。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 330; IFRS 18 | IFRS专业词汇.xlsx/Sheet1 row 260 | example: Illust_FS(12.25).txt: line 1664 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 13681 | example: isg-2026-ifs.txt: line 8067,IFRS/HKFRS standards term library,IFRS 18,Disclosure / Annual report,5 - Very high / core,Financial reporting
incremental borrowing rate,,phrase,增量借款利率,Discount rate,lease liability measurement | IFRS 16,"incremental borrowing rate is a professional expression used in lease accounting, including lessee or lessor recognition, measurement and presentation.",增量借款利率，是租赁会计中的专业表达，通常涉及承租人或出租人的确认、计量和列报。,"Generally, the Group uses its incremental borrowing rate as the discount rate.",一般而言，本集团采用增量借款利率作为折现率。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 284; IFRS 16 | IFRS专业词汇.xlsx/Sheet1 row 81 | IFRS专业词汇.xlsx/Sheet1 row 255 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 18863 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 18446 | example: isg-2026-ifs.txt: line 7951,IFRS/HKFRS standards term library,IFRS 16,Leases,5 - Very high / core,Financial reporting
interest rate implicit in the lease,,phrase,租赁内含利率,Discount rate,lease measurement,"interest rate implicit in the lease is a professional expression used in lease accounting, including lessee or lessor recognition, measurement and presentation.",租赁内含利率，是租赁会计中的专业表达，通常涉及承租人或出租人的确认、计量和列报。,The prospectus describes interest rate implicit in the lease for potential investors.,招股说明书向潜在投资者说明了租赁内含利率。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 285; IFRS 16 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 18434,IFRS/HKFRS standards term library,IFRS 16,Leases,4 - High,IPO
loss of control,,phrase,丧失控制权,Disposal,subsidiary disposal,"loss of control is a professional expression used in consolidation accounting, including control, subsidiaries, structured entities or group financial statements.",丧失控制权，是合并会计中的专业表达，通常涉及控制、子公司、结构化主体或集团财务报表。,Local finance staff apply loss of control under group accounting policies.,当地财务人员根据集团会计政策应用丧失控制权的会计处理。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 187; IFRS 10 | example: Illust_FS(12.25).txt: line 2645,IFRS/HKFRS standards term library,IFRS 10,Consolidation,4 - High,Financial reporting
held for distribution to owners,,phrase,持有待分配给所有者,Distribution,spin-off; distribution in kind,"held for distribution to owners is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",持有待分配给所有者，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,An accounting estimate may depend on assumptions about held for distribution to owners.,会计估计可能取决于关于持有待分配给所有者的资产的假设。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 96; IFRS 5 | example: isg-2026-ifs.txt: line 8354,IFRS/HKFRS standards term library,IFRS 5,Assets held for sale / Discontinued operations,4 - High,Financial reporting
employee benefits,,phrase,雇员福利,Employee benefits,payroll; benefits; HR obligations | IAS 19,"employee benefits is a professional expression used in employee benefits accounting, including pension, defined benefit or service cost matters.",雇员福利，是雇员福利会计中的专业表达，通常涉及养老金、设定受益或服务成本事项。,Short -term employee benefits are expensed as the related service is provided.,短期雇员福利在提供相关服务时确认为费用。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 407; IAS 19 | IFRS专业词汇.xlsx/Sheet1 row 100 | example: Illust_FS(12.25).txt: line 3299 | example: Illust_FS(12.25).txt: line 12757 | example: Illust_FS(12.25).txt: line 3587,IFRS/HKFRS standards term library,IAS 19,Employee benefits,5 - Very high / core,Financial reporting
other long-term employee benefits,,phrase,其他长期雇员福利,Employee benefits,long-service leave,"other long-term employee benefits is a professional expression used in employee benefits accounting, including pension, defined benefit or service cost matters.",其他长期雇员福利，是雇员福利会计中的专业表达，通常涉及养老金、设定受益或服务成本事项。,Evidence from management supports the conclusion on other long-term employee benefits.,管理层提供的证据支持关于其他长期雇员福利的结论。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 410; IAS 19 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 16043 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 16030,IFRS/HKFRS standards term library,IAS 19,Employee benefits,5 - Very high / core,Financial reporting
post-employment benefits,,phrase,离职后福利,Employee benefits,pensions; retirement benefits,"post-employment benefits is a professional expression used in employee benefits accounting, including pension, defined benefit or service cost matters.",离职后福利，是雇员福利会计中的专业表达，通常涉及养老金、设定受益或服务成本事项。,Particulars of these post-employment benefits are set out in note 28 to the financial statements.,该等离职后福利的详情载于财务报表附注28。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 409; IAS 19 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 15195 | example: Illust_FS(12.25).txt: line 1297,IFRS/HKFRS standards term library,IAS 19,Employee benefits,5 - Very high / core,Financial reporting
short-term employee benefits,,phrase,短期雇员福利,Employee benefits,salary; annual leave,"short-term employee benefits is a professional expression used in employee benefits accounting, including pension, defined benefit or service cost matters.",短期雇员福利，是雇员福利会计中的专业表达，通常涉及养老金、设定受益或服务成本事项。,'Short-term employee benefits' are those benefits (other than termination benefits),「短期雇员福利」是指除辞退福利以外的福利。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 408; IAS 19 | example: isg-2025-insights-an-overview.txt: line 1480 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 15137,IFRS/HKFRS standards term library,IAS 19,Employee benefits,5 - Very high / core,Financial reporting
termination benefits,,phrase,辞退福利,Employee benefits,restructuring; layoffs,"termination benefits is a professional expression used in employee benefits accounting, including pension, defined benefit or service cost matters.",辞退福利，是雇员福利会计中的专业表达，通常涉及养老金、设定受益或服务成本事项。,Significant judgement may be needed when applying termination benefits.,在应用辞退福利的会计处理时，可能需要作出重大判断。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 411; IAS 19 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 15109 | example: Illust_FS(12.25).txt: line 3629 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 15137,IFRS/HKFRS standards term library,IAS 19,Employee benefits,5 - Very high / core,Financial reporting
antidilution,,term,反稀释,EPS,excluded instruments,"antidilution is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",反稀释，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The working paper links antidilution to the relevant IFRS requirement.,工作底稿将反稀释与IFRS的相关要求联系起来。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 497; IAS 33,IFRS/HKFRS standards term library,IAS 33,Earnings per share,3 - Medium,Financial reporting
basic earnings per share,basic EPS,phrase,基本每股收益,EPS,income statement; EPS note | EPS,"basic earnings per share is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",基本每股收益，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Liquidity disclosures explain cash flow effects linked to basic earnings per share.,流动性披露解释了与基本每股收益相关的现金流量影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 491; IAS 33 | IFRS专业词汇.xlsx/Sheet1 row 135 | example: Illust_FS(12.25).txt: line 5647,IFRS/HKFRS standards term library,IAS 33,Earnings per share,4 - High,Financial reporting
contingently issuable ordinary shares,,phrase,或有可发行普通股,EPS,earn-outs; performance shares,"contingently issuable ordinary shares is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",或有可发行普通股，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Governance review focuses on significant estimates involving contingently issuable ordinary shares.,治理审查重点关注涉及或有可发行普通股的重大估计事项。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 498; IAS 33 | example: isg-2025-insights-an-overview.txt: line 1692,IFRS/HKFRS standards term library,IAS 33,Earnings per share,4 - High,Financial reporting
diluted earnings per share,diluted EPS,phrase,稀释每股收益,EPS,share options; convertibles | EPS,"diluted earnings per share is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",稀释每股收益，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Risk managers consider diluted earnings per share in the financial instruments note.,风险管理人员在金融工具附注中考虑稀释每股收益。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 492; IAS 33 | IFRS专业词汇.xlsx/Sheet1 row 136 | example: Illust_FS(12.25).txt: line 5662,IFRS/HKFRS standards term library,IAS 33,Earnings per share,4 - High,Financial reporting
dilution,,term,稀释,EPS,diluted EPS,"dilution is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",稀释，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Users review dilution to understand recognition and measurement.,使用者审阅稀释情况以理解确认和计量。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 496; IAS 33 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 8830 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9196,IFRS/HKFRS standards term library,IAS 33,Earnings per share,5 - Very high / core,Financial reporting
earnings per share,EPS,phrase,每股收益,EPS,annual report EPS note,A performance measure that allocates profit or loss attributable to ordinary equity holders over the weighted average number of ordinary shares.,每股收益，是指将归属于普通股权益持有人的损益分摊至加权平均普通股股数的业绩指标。,Lease accountants reassess earnings per share after a contract modification.,租赁会计师在合同修改后重新评估每股收益。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 490; IAS 33 | example: Illust_FS(12.25).txt: line 2589 | example: Illust_FS(12.25).txt: line 5647,IFRS/HKFRS standards term library,IAS 33,Earnings per share,4 - High,Financial reporting
ordinary share,,phrase,普通股,EPS,share capital; EPS denominator,"ordinary share is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",普通股，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,They do not have the right to participate in any additional dividends declared for ordinary shareholders.,该等股份无权参与向普通股股东宣告的任何额外股利分配。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 493; IAS 33 | example: Illust_FS(12.25).txt: line 5676 | example: isg-2026-ifs.txt: line 2082 | example: isg-2026-ifs.txt: line 3940,IFRS/HKFRS standards term library,IAS 33,Earnings per share,5 - Very high / core,Financial reporting
potential ordinary share,,phrase,潜在普通股,EPS,options; warrants; convertibles,"potential ordinary share is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",潜在普通股，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Finance teams consider potential ordinary share before closing the reporting package.,财务团队在关闭报告包之前考虑潜在普通股的影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 494; IAS 33 | example: isg-2025-insights-an-overview.txt: line 1677 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 20142,IFRS/HKFRS standards term library,IAS 33,Earnings per share,5 - Very high / core,Financial reporting
weighted average number of ordinary shares,,phrase,普通股加权平均数,EPS,EPS calculation,"weighted average number of ordinary shares is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",普通股加权平均数，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The tax reconciliation highlights the effect of weighted average number of ordinary shares.,税务调节表突出了普通股加权平均数的影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 495; IAS 33 | example: Illust_FS(12.25).txt: line 1021 | example: Illust_FS(12.25).txt: line 5718,IFRS/HKFRS standards term library,IAS 33,Earnings per share,4 - High,Financial reporting
treasury shares,,phrase,库存股,Equity,share buyback | 权益,"treasury shares is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",库存股，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The Group has elected to present the total cost of treasury shares as a separate category of equity.,本集团选择将库藏股的总成本作为权益的一个单独类别列报。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 486; IAS 32 | IFRS专业词汇.xlsx/Sheet1 row 108 | example: isg-2026-ifs.txt: line 859,IFRS/HKFRS standards term library,IAS 32,Financial instruments presentation,5 - Very high / core,Financial reporting
revaluation surplus,,phrase,重估盈余,Equity / OCI,PPE revaluation reserve,"revaluation surplus is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",重估盈余，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,"However, to the extent that an amount is included in the revaluation surplus for that property, the loss is recognised in OCI and reduces the revaluation surplus within equity.",但是，若某笔金额已计入该物业的重估盈余，则该损失在其他综合收益中确认，并减少权益内的重估盈余。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 404; IAS 16 | example: Illust_FS(12.25).txt: line 1901 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 7050 | example: isg-2026-ifs.txt: line 7558,IFRS/HKFRS standards term library,IAS 16,Fair value / Valuation,5 - Very high / core,Valuation
downstream transactions,,phrase,下游交易,Equity method,transactions with associates/JVs,"downstream transactions is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",下游交易，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Judgement is needed when applying downstream transactions.,在应用下游交易会计处理时需要作出判断。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 473; IAS 28 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9006,IFRS/HKFRS standards term library,IAS 28,Associates / Joint ventures,4 - High,Financial reporting
impairment of investment,,phrase,投资减值,Equity method,associate/JV impairment,"impairment of investment is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",投资减值，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The valuation report explains how impairment of investment was measured.,估值报告说明了投资减值的计量方式。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 474; IAS 28,IFRS/HKFRS standards term library,IAS 28,Fair value / Valuation,3 - Medium,Valuation
investment in a joint venture,,phrase,对合营企业的投资,Equity method,investment note,"investment in a joint venture is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",对合营企业的投资，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Measurement uncertainty increases when investment in a joint venture depends on estimates.,当对合营企业的投资取决于估计时，计量不确定性会增加。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 469; IAS 28 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9222,IFRS/HKFRS standards term library,IAS 28,Associates / Joint ventures,4 - High,Financial reporting
